sub_id,Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,consent,citizen,us_location,prolificID_typed,selfBFI_1,selfBFI_2,selfBFI_3,selfBFI_4,selfBFI_5,selfBFI_6,selfBFI_7,selfBFI_8,selfBFI_9,selfBFI_10,selfBFI_11,selfBFI_12,selfBFI_13,selfBFI_14,selfBFI_15,selfBFI_16,selfBFI_17,selfBFI_18,selfBFI_19,selfED_1,selfED_2,selfED_3,selfED_4,selfED_5,qcheck_bfi_notsupport,qcheck2_bfi_notsupport,SterBFIAnti_1,SterBFIAnti_2,SterBFIAnti_3,SterBFIAnti_4,SterBFIAnti_5,SterBFIAnti_6,SterBFIAnti_7,SterBFIAnti_8,SterBFIAnti_9,SterBFIAnti_10,SterBFIAnti_11,SterBFIAnti_12,SterBFIAnti_13,SterBFIAnti_14,SterBFIAnti_15,SterBFIAnti_16,SterBFIAnti_17,SterBFIAnti_18,SterBFIAnti_19,SterEDAnti_1,SterEDAnti_2,SterEDAnti_3,SterEDAnti_4,SterEDAnti_5,qcheck_bfi_trump,qcheck2_bfi_trump,SterBFITrump_1,SterBFITrump_2,SterBFITrump_3,SterBFITrump_4,SterBFITrump_5,SterBFITrump_6,SterBFITrump_7,SterBFITrump_8,SterBFITrump_9,SterBFITrump_10,SterBFITrump_11,SterBFITrump_12,SterBFITrump_13,SterBFITrump_14,SterBFITrump_15,SterBFITrump_16,SterBFITrump_17,SterBFITrump_18,SterBFITrump_19,SterEDTrump_1,SterEDTrump_2,SterEDTrump_3,SterEDTrump_4,SterEDTrump_5,opin_pol,opin_pol_lastchance,opin_pol2,day_support_trump_targ,questionable_pt,qcheck_targ_trump,qcheck2_targ_trump,TargBFITrump_1,TargBFITrump_2,TargBFITrump_3,TargBFITrump_4,TargBFITrump_5,TargBFITrump_6,TargBFITrump_7,TargBFITrump_8,TargBFITrump_9,TargBFITrump_10,TargBFITrump_11,TargBFITrump_12,TargBFITrump_13,TargBFITrump_14,TargBFITrump_15,TargBFITrump_16,TargBFITrump_17,TargBFITrump_18,TargBFITrump_19,TargEDTrump_1,TargEDTrump_2,TargEDTrump_3,TargEDTrump_4,TargEDTrump_5,day_nosupport_targ,qcheck_targ_nosupport,qcheck2_targ_nosupport,TargBFIAnti_1,TargBFIAnti_2,TargBFIAnti_3,TargBFIAnti_4,TargBFIAnti_5,TargBFIAnti_6,TargBFIAnti_7,TargBFIAnti_8,TargBFIAnti_9,TargBFIAnti_10,TargBFIAnti_11,TargBFIAnti_12,TargBFIAnti_13,TargBFIAnti_14,TargBFIAnti_15,TargBFIAnti_16,TargBFIAnti_17,TargBFIAnti_18,TargBFIAnti_19,TargEDAnti_1,TargEDAnti_2,TargEDAnti_3,TargEDAnti_4,TargEDAnti_5,cont_pol_trump,fund_pol_trump,lib_pol_trump_8,cons_pol_trump_8,threat_pol_trump,ident_pol_trump,cont_pol_antitrump,fund_pol_antitrump,lib_pol_antitrump_8,cons_pol_antitrump_8,threat_pol_antitrump,ident_pol_antitrump,poli_orient_1,poli_orient_2,poli_orient_3,house_most_members,congress_percent_1,congress_percent_2,age,gender,gender_3_TEXT,education,parent_education,race,race_8_TEXT,country_birth,country_birth_2_TEXT,country_raised,country_raised_2_TEXT,native_language,native_language_2_TEXT,IPAddress
1,412,10/14/2020 13:28,29.57200623,-95.54000092,1,1,1,5eda6c949bd93666972eead9,3,4,3,3,2,4,3,5,3,2,3,2,4,4,4,2,4,2,2,5,5,4,1,4,2,,3,4,3,4,4,4,4,5,3,2,3,2,3,4,4,3,5,2,4,5,4,2,4,4,1,,2,3,2,2,2,3,4,5,2,3,5,3,3,4,3,4,3,4,2,2,4,2,5,3,2,,,Drinks a cup of coffee in the morning while getting her kids ready. Then going to work at a consulting firm where she just talks about her kids all day. After work she goes gets her kids and prepares dinner,1,1,,2,3,2,2,2,2,5,4,3,4,3,2,3,3,2,3,2,4,4,2,3,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,8,5,2,2,2,2,6,75,25,20,1,,5,22,6,,1,,1,,1,,98.198.110.61
2,392,10/14/2020 13:37,37.5657959,-85.26679993,1,1,1,5d30d83da51933001af2ec47,4,3,4,4,2,2,3,3,3,3,2,2,3,2,2,2,2,4,,4,1,4,4,3,2,,3,5,3,4,4,2,2,2,4,3,2,3,4,3,2,3,3,3,4,4,3,3,3,3,1,,1,3,3,3,3,1,4,3,3,2,4,4,1,2,1,4,3,3,1,2,4,2,3,3,2,,,Jen hangs out with her white friends on the daily hating on minorities and blaming them for all their problems when in reality it's the party and politics they support that continue to oppress them. She works a crappy job and does crappy things hoping it will get better but it never does because it is a system designed for the little people to fail.,1,1,,2,5,2,4,2,4,3,3,2,3,3,4,4,3,2,4,2,3,4,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,8,5,5,1,1,1,2,41,59,33,1,,3,22,6,,1,,1,,1,,67.140.146.51
3,636,10/14/2020 13:40,45.66520691,-122.5214996,1,1,1,5e3abacf0d41ad2b850b56f5,4,4,4,4,2,2,3,2,4,2,2,3,2,2,2,2,4,2,2,5,2,4,3,4,2,,4,5,4,5,5,2,2,4,4,1,3,5,3,3,3,4,3,3,4,5,4,3,3,2,1,,2,1,2,2,1,4,4,2,2,5,3,2,4,4,2,3,2,2,3,2,5,1,4,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jen is a pediatric nurse who enjoys hiking and rescues cats. ,2,,4,5,2,2,4,3,2,2,4,3,4,4,4,4,2,4,3,2,4,4,,4,4,2,,,,,,,3,2,1,9,3,4,2,1,3,2,45,58,44,2,,4,21,6,,1,,1,,1,,71.193.217.142
4,814,10/14/2020 13:49,33.59030151,-101.9371033,1,1,1,5e861812b23b0a22ef59c4ee,2,4,1,1,3,5,4,2,1,1,5,3,5,4,4,1,2,2,4,2,5,5,2,5,2,,3,5,2,4,4,4,4,2,3,1,4,3,5,5,4,2,3,2,4,4,5,2,5,4,1,,1,1,4,2,1,4,4,3,1,4,4,3,4,3,2,1,4,5,2,1,5,2,5,4,2,,,"Jen wakes up and goes to work. She cares about becoming the team lead at work and doesn't care who she hurts or tramples over on her way to the top. After work, she goes to happy hour and drinks terrible, watered-down beer with her white supremacist friends. They watch terrible sitcoms written by male writers play in the background and laugh about how great the lame jokes are. ",1,1,,1,2,2,2,1,5,4,2,1,3,4,2,4,2,3,1,4,4,1,4,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,10,5,3,1,1,2,2,35,55,30,2,,5,21,4,,1,,1,,1,,107.131.93.60
5,1095,10/14/2020 13:54,35.11309814,-106.5781021,1,1,1,5ac2dce4436f550001ffc1fc,5,3,1,4,5,1,3,1,2,1,5,2,4,5,4,4,1,1,5,4,5,4,4,3,2,,4,4,2,3,4,3,4,3,2,1,3,4,4,4,4,2,4,2,2,4,3,3,4,2,1,,1,2,3,2,2,4,4,2,3,2,3,2,3,4,4,2,4,4,4,2,3,2,2,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen loves a morning hike, she loves nature. Jen has a garden and does art work on the side. She could be a art teacher. ",2,,2,5,1,4,5,2,2,1,3,1,5,5,5,4,5,4,1,1,4,4,4,3,4,4,,,,,,,5,5,0,9,2,4,2,2,2,2,45,54,66,2,,3,21,6,,1,,1,,1,,73.98.22.49
6,1266,10/14/2020 13:58,41.03010559,-92.40470123,1,1,1,5c78de2e8a34620011341ef5,4,4,3,4,5,4,1,1,1,2,4,4,5,5,4,2,3,1,5,3,5,5,4,4,2,,3,4,1,3,5,5,1,1,2,2,4,5,5,4,4,3,3,1,3,4,3,3,3,3,1,,1,3,1,5,2,5,4,1,2,2,5,3,3,3,4,2,1,3,3,3,3,2,5,3,2,,,"She seems to be a person who enjoys her work, and would like it to stay that way.",1,1,,2,4,1,1,2,4,2,1,1,3,4,4,4,5,2,3,2,3,4,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,8,2,4,2,3,3,3,50,60,18,1,,3,24,6,,1,,1,,1,,50.83.91.173
7,1047,10/14/2020 14:00,41.83070374,-71.39820099,1,1,1,5f021a50508c420991abd275,3,5,3,5,5,1,2,5,5,1,2,4,1,2,4,3,4,3,4,3,2,2,4,4,2,,3,5,3,5,4,3,3,3,5,1,2,4,3,3,4,3,3,2,3,4,3,3,3,3,1,,1,2,3,1,2,4,4,3,2,1,4,2,2,1,2,4,5,4,1,3,4,2,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probably wakes up and reads the news and groans, goes about her day habitually, work, maybe spends some free time either steeping in politics or avoiding them.",2,,3,4,3,5,4,3,3,3,4,1,4,5,4,3,4,3,3,1,3,3,3,3,3,4,,,,,,,5,5,0,7,4,4,1,1,1,3,75,60,28,3,non-binary,5,23,6,,1,,1,,1,,72.92.237.182
8,949,10/14/2020 14:02,34.07969666,-83.93280029,1,1,1,5f51288315e3663294fb310f,2,4,3,4,3,4,3,1,4,1,4,2,4,4,5,1,3,1,4,4,5,5,1,4,2,,1,1,4,1,5,4,5,2,5,1,4,1,1,1,1,1,5,5,1,1,4,1,5,1,1,,1,1,2,5,1,5,3,1,3,5,2,1,4,4,1,1,3,4,5,1,5,2,3,5,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Drinks black coffee and eats egg white omelets with kale. Rides public transportation to her job at a dot com company. Wants a boyfriend but hates dating apps. Likes to drink wine at dinner. And goes home to her apartment she shares with 2 friends. Reads an Emily Bronte novel before bed.,2,,3,3,4,5,5,1,2,1,1,1,5,4,5,4,4,4,1,2,5,3,2,1,2,1,,,,,,,5,1,,10,3,2,3,2,5,3,62,37,34,2,,2,23,6,,1,,1,,1,,73.184.90.7
9,907,10/14/2020 14:05,37.86639404,-122.2570038,1,1,1,5c5c06b9ba12df000140be91,4,5,4,4,4,5,4,4,4,3,3,5,5,4,3,4,3,1,4,4,4,3,5,4,2,,3,4,3,4,4,3,3,3,4,2,4,4,3,2,4,4,4,1,2,4,4,4,3,4,1,,3,2,3,4,2,2,4,3,3,5,3,1,3,2,3,4,4,4,4,5,3,1,3,3,2,,,"Jen spends time in her community and sees herself as very religious. She worked a job that did not require a college degree, but she has done well for herself regardless, but now that she has three children, she decided to become a stay-at-home mom to homeschool her children. They all go to church regularly and volunteer in the community through the church. She sees herself as a very open and caring person, but her community has very little diversity.",1,1,,3,4,2,4,2,2,1,2,1,5,4,2,5,4,1,5,1,2,5,2,4,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,7,4,4,2,1,2,2,45,53,28,2,,3,24,6,,1,,1,,1,,67.188.174.208
10,673,10/14/2020 15:11,42.23849487,-83.17829895,1,1,1,5685850c333cbd000d4e042f,4,3,3,4,1,1,3,2,2,5,1,5,4,3,2,4,2,2,5,3,5,3,5,2,2,,4,4,4,5,5,3,3,5,5,2,3,4,4,2,5,3,5,1,1,4,5,4,3,3,1,,1,1,5,1,1,5,4,1,2,5,5,1,3,4,4,1,4,4,4,2,5,1,4,1,2,,,"Jen looks like someone that wakes up early to go to her office job. She'll do her work and have a packed lunch. When she gets off of work, she'll do some workout at the gym and come home to her two children and her husband. They'll cook dinner together and go to bed around 10:30",1,1,,1,4,1,3,2,4,3,2,2,2,5,4,5,4,4,4,2,2,5,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,6,2,2,3,2,4,6,62,57,26,1,,2,23,6,,1,,1,,1,,98.224.141.219
11,416,10/14/2020 17:30,28.65289307,-81.21060181,1,1,1,5da360b12e89480010ef417a,5,4,1,4,3,3,4,3,4,4,2,3,3,3,3,3,4,3,4,3,3,5,4,3,2,,4,2,3,4,5,2,5,2,4,4,3,2,3,1,3,5,5,5,1,3,3,2,2,2,1,,3,3,2,2,4,4,5,3,2,3,4,3,4,2,4,3,4,3,4,4,2,1,5,2,1,,,"Jen would wake up, like every American, ready to go to work. She would eat breakfast, brush her teeth, and set off for her job. At the end of the day, Jen would eat dinner, watch some light night TV or scroll through her phone, and fall asleep ready for the day ahead of her.",1,1,,4,4,2,2,3,4,3,4,3,3,4,3,4,3,3,3,3,4,3,4,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,9,1,4,,,,,,,4,4,4,2,45,54,18,1,,2,23,6,,1,,1,,1,,108.64.165.208
12,476,10/14/2020 17:30,40.85470581,-73.92179871,1,1,1,5e7e93475caed456ffb84287,3,5,4,5,5,4,2,5,5,1,3,4,3,3,5,2,4,1,1,3,5,4,4,3,2,,2,5,3,4,5,3,3,3,4,1,3,4,4,3,5,3,3,1,1,3,3,3,3,3,1,,2,1,3,1,1,2,5,3,3,5,3,1,2,3,1,3,3,5,3,3,3,3,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,jen probably wakes up in time to get to an early morning office type 9-5 job and gets home with enough time to eat and spend time with her family,2,,4,5,2,3,3,2,1,1,3,3,4,4,5,5,3,5,1,1,3,3,3,3,3,3,,,,,,,5,5,0,9,5,5,1,1,1,2,45,55,24,2,,5,21,6,,1,,1,,1,,172.58.228.144
13,556,10/14/2020 17:32,40.81390381,-73.88410187,1,1,1,5f3e2dabbeea6a27d69e68f0,3,5,1,1,5,5,1,1,1,2,5,4,4,4,5,5,4,3,4,5,5,4,4,4,2,,4,4,2,4,4,4,2,2,4,3,3,4,4,4,4,4,2,3,4,4,4,4,2,4,3,1,2,2,4,3,2,3,4,3,2,2,4,2,2,2,1,2,4,4,2,4,4,4,3,4,2,,,It's her choice and has the right to endorse or choose anyone,3,1,,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,4,3,4,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,9,8,3,3,3,4,3,2,85,86,32,2,,7,1,6,,1,,1,,1,,47.19.139.98
14,668,10/14/2020 17:34,38.95669556,-77.22779846,1,1,1,5f0205b1d6b59d0823ea2832,4,5,2,3,5,3,1,2,1,2,4,4,5,5,4,4,2,2,4,4,5,2,5,3,2,,2,5,1,4,4,2,3,2,2,1,4,4,4,3,5,4,3,1,2,4,4,2,3,3,1,,2,1,3,2,3,4,4,2,2,4,4,2,3,2,3,2,3,4,3,4,3,3,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jen eats oatmeal and a smoothie for breakfast. Then she goes to work in a biology lab as a researcher. She comes home and makes tacos for dinner. Then she reads a book and watches her favorite show before going to bed.,2,,3,5,2,2,4,2,1,2,2,2,3,4,4,4,4,4,3,1,4,4,4,3,3,4,,,,,,,5,5,0,7,4,4,2,2,2,2,40,59,22,2,,5,2,6,,1,,1,,1,,74.96.248.203
15,706,10/14/2020 17:34,26.55589294,-82.02140045,1,1,1,5e05169c37241cf5527d7f6a,3,2,4,5,3,3,2,2,3,4,2,2,2,3,2,3,2,2,3,1,4,1,1,3,2,,1,1,4,5,4,2,5,5,5,1,1,1,2,1,1,1,3,5,1,4,2,5,4,5,1,,2,4,1,3,2,3,2,2,3,1,4,2,4,5,3,3,1,1,3,1,5,1,3,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen probably lives a normal life, watches CNN. Reads buzzfeed articles, doesn’t know much politically about Trump, works a 9-5 but supports “the poor “ even though she’s middle class. ",2,,1,1,1,5,1,1,4,3,2,1,2,1,3,1,2,1,2,3,1,1,4,5,4,4,2,3,0,10,4,4,,,,,,,4,4,5,2,14,91,26,2,,3,23,6,,1,,1,,1,,76.101.249.20
16,667,10/14/2020 17:34,40.79110718,-77.85919952,1,1,1,5f612ed73093d90a0630de3f,3,5,2,5,3,4,3,5,4,1,3,4,4,2,2,1,4,2,2,5,4,5,3,3,2,,2,4,4,4,4,4,5,2,4,1,3,2,3,2,3,2,5,5,2,5,4,1,4,3,1,,2,2,1,2,1,3,4,2,2,5,3,3,3,2,4,2,3,4,5,2,3,2,5,3,2,,,Jen wakes up at 7. Eats some sort of breakfast and she looks like she has a pet. Then she goes into the office to work a 9-5 ish of some sort. ,1,1,,3,4,3,2,2,3,2,2,1,3,4,4,4,4,3,5,2,1,5,3,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,5,1,2,3,2,3,6,55,45,19,2,,3,1,6,,1,,1,,1,,104.38.25.105
17,737,10/14/2020 17:35,36.12280273,-79.66690063,1,1,1,5f765a3c8a6ec010370c9cc1,5,4,1,3,3,1,2,4,2,3,3,2,3,5,1,2,1,1,5,5,5,1,5,4,2,,1,5,4,5,5,4,4,3,3,4,4,2,3,2,4,4,4,4,2,2,4,2,4,3,1,,1,1,3,2,1,4,5,3,3,5,4,2,1,2,1,4,3,5,2,4,4,1,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jen is an ordinary person who works at starbucks,2,,4,4,1,4,4,3,2,2,3,2,4,5,5,4,5,3,2,1,5,3,3,4,2,4,,,,,,,5,5,0,9,4,3,2,2,3,6,55,54,20,1,,2,24,6,,1,,1,,1,,99.162.225.12
18,732,10/14/2020 17:35,42.28070068,-83.78009796,1,1,1,5efc9e6602650605d21ca962,1,5,1,1,2,5,1,1,1,3,5,5,5,5,3,4,1,1,5,4,5,1,4,4,2,,1,5,1,1,4,5,1,1,1,4,5,5,5,5,4,4,1,1,5,5,5,1,5,4,1,,3,1,5,4,1,1,5,5,5,5,1,1,1,1,1,3,5,5,1,1,1,5,3,1,2,,,Jen looks like the type of person who wakes up and watches Fox News before taking her cat on a walk while drinking coffee out of her TRUMP 2020 mug. She then goes on her phone to post anti-science and fake news about the coronavirus and comments on people's posts with how Trump is the best and how much she supports conservative Republicans. ,1,1,,4,1,5,5,1,1,5,5,5,5,1,1,1,1,1,1,5,5,1,1,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,10,3,5,1,1,1,2,40,59,23,2,,7,24,6,,1,,1,,1,,76.214.139.21
19,770,10/14/2020 17:36,36.04989624,-83.92279816,1,1,1,58f5365dfb4d7500014aeebc,3,2,2,2,4,4,4,1,2,2,4,3,4,4,4,2,3,1,4,3,4,2,4,4,2,,2,2,3,4,4,3,4,2,4,3,4,3,4,4,4,2,4,4,3,5,4,2,4,2,1,,2,2,2,2,4,4,4,2,2,2,4,2,4,4,4,2,3,4,3,4,4,2,4,3,1,,,She is probably a worker like most Americans. Hopeful for a better future with an increased quality of living in the future. She probably spends at least 50 hours a week caught up in work. With her free time most of it is probably consumed with passions she has developed in the alluring society we live in ,1,1,,2,3,2,3,4,3,4,2,3,2,4,3,4,4,4,2,3,4,3,4,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,5,1,2,,,,,,,3,3,3,3,50,51,27,1,,3,22,6,,1,,1,,1,,73.113.4.64
20,854,10/14/2020 17:37,37.55369568,-77.46019745,1,1,1,5f7b805c2d955715666419ff,5,5,3,4,5,4,1,5,2,1,4,5,4,3,2,4,4,4,5,3,5,2,4,4,2,,1,3,1,4,2,4,2,1,2,3,4,1,5,4,3,3,5,2,5,2,3,4,1,1,1,,1,2,4,1,1,3,5,2,2,5,5,1,1,1,2,5,5,5,1,4,5,2,5,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen leads a busy lifestyle. She has a family to take care of and a full time job and meets many abrasive people in her day to day her life. She finds herself short with strangers rather than finding patience. She's very strict on her kids, and her husband stays out of her way, doing what she asks rather than voicing any disputes. Jen is very displeased about the upcoming election and does not support Donald Trump. She is very vocal about this. She is proud of her stance.",2,,2,2,1,5,4,5,3,1,4,5,4,1,5,4,4,5,4,2,5,1,2,3,4,2,5,1,1,7,1,2,,,,,,,2,2,3,6,66,66,20,2,,2,24,4,,1,,1,,1,,76.123.56.194
21,983,10/14/2020 17:39,42.98269653,-70.94719696,1,1,1,5c9914f616743e0016280d64,1,5,1,5,4,3,1,1,1,3,5,5,5,4,5,5,1,1,5,5,5,1,4,4,2,,2,2,5,2,2,4,5,4,3,4,4,2,2,2,2,2,5,5,2,2,4,3,5,2,1,,3,5,1,5,3,4,1,1,1,3,5,5,5,4,5,1,3,1,5,5,5,3,5,5,1,,,"he gets up, goes to the bathroom, goes to the kitchen, makes a coffee and pancakes, then takes a shower and goes to work. Management at her workplace until 5pm when she returns home, prepares a dinner, reads a book and finally falls asleep.",1,1,,3,5,1,5,5,5,1,1,3,1,5,5,5,4,5,5,1,1,5,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,10,5,5,,,,,,,4,1,4,3,54,53,24,2,,5,2,6,,1,,1,,1,,174.63.56.118
22,760,10/14/2020 17:40,37.33039856,-121.7913055,1,1,1,5f04ab498d53cb0df98434d4,4,5,3,4,4,3,2,4,2,2,1,5,4,3,3,3,2,2,3,4,3,3,1,3,2,,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,1,,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,4,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen is pretty much normal. I guess she has a home, works, goes home, and sleeps. She seems like a positive and healthy person. ",2,,3,4,3,3,3,3,3,3,3,2,3,4,4,3,4,3,3,2,3,4,3,3,3,3,,,,,,,4,5,1,8,2,3,2,2,2,2,43,61,20,2,,3,22,2,,1,,1,,1,,73.70.110.240
23,1052,10/14/2020 17:41,42.33099365,-83.37850189,1,1,1,5c284e0970d93a0001211e16,4,5,5,5,5,2,3,4,5,1,1,2,4,1,5,2,2,3,2,4,4,5,2,3,2,,3,4,4,5,4,3,3,2,4,1,5,4,5,3,5,2,2,4,5,5,4,4,4,4,1,,1,1,2,1,1,5,5,1,2,5,4,1,2,4,1,1,5,5,1,4,5,1,5,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"She appears to be well groomed and mannered. I would assume she has a well paying job,a loving husband,kids,and plenty of friends. I'm sure she enjoys her life and is financially well off.",2,,2,4,1,3,5,4,2,1,1,1,5,3,4,5,5,4,1,2,5,4,4,4,5,4,,,,,,,3,4,0,8,5,4,2,1,4,6,90,70,25,1,,2,21,6,,1,,1,,1,,45.24.15.215
24,1097,10/14/2020 17:41,29.5933075,-90.75959778,1,1,1,5f18734cc413fc04775c1344,5,5,3,3,4,2,2,5,3,1,2,4,5,5,4,5,1,1,4,1,4,5,2,3,2,,3,5,3,4,4,3,3,3,3,2,3,4,4,4,4,4,2,1,4,4,3,3,4,3,1,,2,1,4,5,3,4,4,3,3,4,3,1,3,1,3,2,3,4,3,4,3,3,4,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"She seems like a normal human being just going by the picture. Appears that she takes care of herself overall without going overboard. She seems easily approachable, beyond that I'd have to talk to her before making any more judgements.",2,,3,5,4,3,4,3,2,2,3,2,3,5,4,4,4,4,2,1,4,4,4,3,3,3,,,,,,,4,5,0,7,4,3,1,1,1,2,45,55,38,1,,4,23,6,,1,,1,,1,,75.65.129.13
25,1146,10/14/2020 17:42,36.07110596,-86.71959686,1,1,1,59870a8c644ea4000126ede3,3,4,2,4,5,3,4,3,4,3,2,4,4,2,4,2,4,4,4,5,5,4,4,1,2,,1,2,2,5,4,5,5,1,3,3,5,1,2,1,5,2,5,5,1,3,4,3,5,3,1,,5,5,3,3,4,3,2,3,2,3,3,5,5,5,3,4,1,1,5,4,5,2,3,3,1,,,"Jen is a very outgoing, friendly young woman who is a wife and mother of 2 year old Emma.
A typical day for her would be to get up and help her husband Brian get off to work after making him a quick breakfast. Then she would get little Emma ready for a fun day at preschool.
After dropping off Emma, Jen would then go to her part time job at the bookstore where she works.
Later she would pick up Emma,come home and make dinner for the family. ",1,1,,3,5,4,4,4,4,2,2,2,2,5,5,5,5,5,5,2,2,5,4,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,9,5,5,,,,,,,5,5,5,2,40,52,33,1,,2,22,6,,1,,1,,1,,74.230.142.201
26,1052,10/14/2020 17:43,38.15510559,-79.06079865,1,1,1,5df180b59b92b1098c0d5818,3,3,4,2,4,4,1,4,4,2,2,3,3,4,4,2,2,1,3,4,4,1,4,4,2,,3,3,3,3,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,1,,1,3,3,3,1,1,4,3,2,5,3,2,2,1,1,3,3,3,3,3,4,3,3,3,2,,,"Probably has a cat or two, a job that pays around $30,000 a year in a not too populated area. Mostly just goes to work and hangs out with her cats. Occasionally goes to movies with friends. Goes to church on sundays. ",1,1,,4,3,3,1,1,1,2,3,3,5,3,3,3,3,1,4,1,2,5,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,7,5,4,1,1,1,2,46,54,35,2,,6,1,6,,1,,1,,1,,71.63.89.209
27,1218,10/14/2020 17:44,34.41329956,-118.0917053,1,1,1,5e53f934158f1d3e9d2d761e,3,4,4,2,4,4,3,3,2,1,4,4,4,4,4,3,2,1,3,5,5,3,4,4,2,,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,4,2,3,4,4,3,3,3,4,1,,3,1,2,3,3,3,4,2,3,4,3,1,3,2,2,2,3,4,2,2,3,3,3,3,2,,,"Jen probably homeschools her 5 kids and takes them to various sports. She spends a lot if time on social media selling health products for an MLM. She cooks a healthy dinner for her family, then goes back on social media for the rest of the night sharing posts about the deep state and how Biden is a pedophile. ",1,1,,2,2,2,4,2,2,4,2,2,4,4,2,3,3,2,4,4,4,2,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,9,4,4,2,1,2,2,36,53,37,2,,3,21,6,,1,,1,,1,,172.88.172.173
28,1416,10/14/2020 17:46,43.12750244,-77.62770081,1,1,1,5f72d964dd42802225ed83c6,3,5,4,5,5,2,1,4,2,1,4,5,5,3,1,4,2,2,5,4,2,1,4,5,2,,2,5,2,5,5,3,2,2,4,1,4,5,4,4,4,3,3,2,4,5,3,3,2,4,1,,1,2,2,2,1,3,5,2,3,5,4,2,2,1,1,1,3,4,2,2,4,1,5,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jen wakes up and makes herself a smoothie after her morning jog. She sends her two elementary schoolers off to school and then gets to work as a freelance writer. ,2,,5,5,2,4,4,2,2,2,2,3,5,5,4,4,5,5,1,2,4,4,5,4,4,5,,,,,,,5,5,0,8,5,5,2,1,2,2,30,70,20,2,,3,1,6,,1,,1,,1,,128.151.150.2
29,1580,10/14/2020 17:49,41.2131958,-96.16680145,1,1,1,5ee6f91291a7f3467cd37704,4,4,3,4,5,2,1,4,3,1,3,4,5,4,5,5,2,1,5,5,5,4,2,4,2,,4,5,3,5,5,2,1,2,2,1,4,5,5,5,5,5,2,1,5,5,5,4,2,4,1,,1,1,5,5,1,1,5,5,1,5,1,1,1,1,1,1,5,5,1,1,3,1,5,3,2,,,"She gets up, turns on fox news to listen to while she's getting ready for work. Drives to work in her suv listening to conservative talk radio or Christian radio, honking at the prius in front of her to get out of the way. Goes to work, does a good job, eats lunch at McDonald's comes home, makes dinner for the family, watches Sean Hannitt and goes to bed.",1,1,,3,5,1,5,1,5,1,,2,5,4,2,5,,1,5,1,1,5,1,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,10,5,5,1,1,1,2,32,52,58,1,,5,2,6,,1,,1,,1,,184.97.144.180
