sub_id,Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,consent,citizen,us_location,prolificID_typed,selfBFI_1,selfBFI_2,selfBFI_3,selfBFI_4,selfBFI_5,selfBFI_6,selfBFI_7,selfBFI_8,selfBFI_9,selfBFI_10,selfBFI_11,selfBFI_12,selfBFI_13,selfBFI_14,selfBFI_15,selfBFI_16,selfBFI_17,selfBFI_18,selfBFI_19,selfED_1,selfED_2,selfED_3,selfED_4,selfED_5,qcheck_bfi_notsupport,qcheck2_bfi_notsupport,SterBFIAnti_1,SterBFIAnti_2,SterBFIAnti_3,SterBFIAnti_4,SterBFIAnti_5,SterBFIAnti_6,SterBFIAnti_7,SterBFIAnti_8,SterBFIAnti_9,SterBFIAnti_10,SterBFIAnti_11,SterBFIAnti_12,SterBFIAnti_13,SterBFIAnti_14,SterBFIAnti_15,SterBFIAnti_16,SterBFIAnti_17,SterBFIAnti_18,SterBFIAnti_19,SterEDAnti_1,SterEDAnti_2,SterEDAnti_3,SterEDAnti_4,SterEDAnti_5,qcheck_bfi_trump,qcheck2_bfi_trump,SterBFITrump_1,SterBFITrump_2,SterBFITrump_3,SterBFITrump_4,SterBFITrump_5,SterBFITrump_6,SterBFITrump_7,SterBFITrump_8,SterBFITrump_9,SterBFITrump_10,SterBFITrump_11,SterBFITrump_12,SterBFITrump_13,SterBFITrump_14,SterBFITrump_15,SterBFITrump_16,SterBFITrump_17,SterBFITrump_18,SterBFITrump_19,SterEDTrump_1,SterEDTrump_2,SterEDTrump_3,SterEDTrump_4,SterEDTrump_5,opin_pol,opin_pol_lastchance,opin_pol2,day_support_trump_targ,questionable_pt,qcheck_targ_trump,qcheck2_targ_trump,TargBFITrump_1,TargBFITrump_2,TargBFITrump_3,TargBFITrump_4,TargBFITrump_5,TargBFITrump_6,TargBFITrump_7,TargBFITrump_8,TargBFITrump_9,TargBFITrump_10,TargBFITrump_11,TargBFITrump_12,TargBFITrump_13,TargBFITrump_14,TargBFITrump_15,TargBFITrump_16,TargBFITrump_17,TargBFITrump_18,TargBFITrump_19,TargEDTrump_1,TargEDTrump_2,TargEDTrump_3,TargEDTrump_4,TargEDTrump_5,day_nosupport_targ,qcheck_targ_nosupport,qcheck2_targ_nosupport,TargBFIAnti_1,TargBFIAnti_2,TargBFIAnti_3,TargBFIAnti_4,TargBFIAnti_5,TargBFIAnti_6,TargBFIAnti_7,TargBFIAnti_8,TargBFIAnti_9,TargBFIAnti_10,TargBFIAnti_11,TargBFIAnti_12,TargBFIAnti_13,TargBFIAnti_14,TargBFIAnti_15,TargBFIAnti_16,TargBFIAnti_17,TargBFIAnti_18,TargBFIAnti_19,TargEDAnti_1,TargEDAnti_2,TargEDAnti_3,TargEDAnti_4,TargEDAnti_5,cont_pol_trump,fund_pol_trump,lib_pol_trump_8,cons_pol_trump_8,threat_pol_trump,ident_pol_trump,cont_pol_antitrump,fund_pol_antitrump,lib_pol_antitrump_8,cons_pol_antitrump_8,threat_pol_antitrump,ident_pol_antitrump,poli_orient_1,poli_orient_2,poli_orient_3,house_most_members,congress_percent_1,congress_percent_2,age,gender,gender_3_TEXT,education,parent_education,race,race_8_TEXT,country_birth,country_birth_2_TEXT,country_raised,country_raised_2_TEXT,native_language,native_language_2_TEXT,IPAddress
571,1954,10/21/2020 17:55,40.47979736,-88.99220276,1,1,1,5ebb0261d63dde0ba3b037c5,1,4,1,,4,3,2,1,3,1,5,3,5,5,5,3,1,1,5,4,5,1,2,4,2,,3,4,4,5,2,4,4,5,5,1,1,1,3,3,5,3,5,5,1,2,4,3,4,2,1,,1,5,1,1,3,3,4,1,1,2,5,3,4,5,5,3,3,3,3,5,4,2,2,5,1,,,jen looks like she is a mother of 4 she works a lot shes maybe a nurse she gets off work and go gets pizza for kids and drink wine and put kids to sleep ,1,1,,2,4,3,1,3,4,2,1,1,5,5,3,4,2,2,3,1,1,5,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,6,5,3,4,,,,,,,3,5,4,6,51,51,21,2,,2,20,3,,1,,1,,1,,98.215.41.160
572,1826,10/21/2020 17:55,41.15260315,-81.62999725,1,1,1,5f13c80de764c617c6b83856,5,3,2,4,4,2,3,4,4,3,1,2,3,4,4,4,1,2,4,3,4,5,1,3,2,,1,4,3,3,4,3,3,3,2,4,2,3,3,2,3,4,4,4,2,4,3,3,2,3,3,1,5,1,5,5,1,1,5,3,1,5,3,1,1,1,1,3,5,5,2,4,3,1,5,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen wakes up with a good day ahead. She listens to music while doing her daily routine, reads a book or two, eats a couple vegan snacks.",2,,1,5,3,3,5,5,1,4,1,2,5,5,3,2,3,5,5,1,1,3,3,1,5,4,,,,,,,3,5,7,8,5,4,3,3,3,2,56,56,20,2,,4,21,4,,1,,1,,1,,98.197.113.163
573,3003,10/21/2020 17:56,42.29710388,-71.06199646,1,1,1,5ea943a22998a70216167171,4,3,4,4,5,3,4,5,4,3,3,2,3,4,2,4,3,3,3,4,1,3,3,3,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Well she probably gets up in the morning to go to work and eats breakfast before hand, i dont know much about her aside from appearance so i cannot give an accurate description",2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,4,,,,,,,5,3,5,5,3,3,3,3,3,3,35,57,20,1,,2,22,3,,1,,1,,1,,72.93.216.33
574,2310,10/21/2020 17:56,40.71090698,-73.73880005,1,1,1,5edd73393194fca8fee0a5b9,4,3,4,4,2,2,2,4,4,2,3,1,4,2,5,3,4,2,2,2,3,1,2,3,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,,3,3,3,3,3,5,3,3,2,3,3,3,3,3,3,3,5,3,3,4,3,3,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"She wakes up, brush her teeths, take a shower, makes breakfast for her and her kids, gives a kiss on cheeks to her/husband(or not), then goes to work. When she is home, she relax at home, eats/make dinner and then goes to bed",2,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,,,,2,3,2,8,2,2,2,2,2,3,70,72,23,1,,5,1,3,,2,Togo,1,,2,French first then English,108.46.226.106
575,420,10/21/2020 17:57,30.17129517,-93.22440338,1,1,1,5e7432c4a9b19e3b27470ef0,3,5,1,1,4,1,1,2,1,1,4,1,4,5,3,4,1,1,4,4,4,3,4,3,2,,1,5,4,5,1,1,5,5,1,5,1,5,2,1,5,5,5,5,2,1,3,3,3,5,1,,3,5,1,1,5,2,1,1,2,2,2,1,5,5,5,4,1,1,4,4,3,3,3,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,She probably lives off her boyfriend and cheats on him behind his back.,2,,2,2,5,5,2,3,5,4,2,5,5,2,1,4,3,2,4,2,1,3,3,5,3,2,4,4,,10,2,4,,,,,,,3,3,4,6,51,17,23,1,,5,24,6,,1,,1,,1,,74.193.208.38
576,2179,10/21/2020 17:57,39.1546936,-84.5911026,1,1,1,5efe20603eafb31078127e5a,5,5,4,4,3,1,1,3,5,2,1,3,3,1,1,2,1,1,4,3,4,1,3,4,2,,3,5,3,4,3,3,2,2,4,2,4,3,3,3,3,1,2,1,5,4,4,3,3,3,1,,1,1,3,2,2,1,5,3,2,2,3,2,3,1,2,2,4,4,1,4,4,3,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen wakes up and gets ready for work. Before she leaves for work, she makes breakfast for her kids. She then goes to work. When she comes home, she spends time with her kids as her husband cooks dinner. After dinner and more family time, she gets her kids ready for bed. After the kids are in bed, she spends some time with her husband. After spending time with her husband, she goes to bed.",2,,3,5,2,3,3,3,2,2,2,3,4,4,4,2,3,1,1,1,4,4,4,3,3,3,,,,,,,5,5,0,9,5,4,1,1,1,2,22,53,28,2,,2,2,6,,1,,1,,1,,104.231.190.166
577,3232,10/21/2020 17:58,33.78729248,-117.9230957,1,1,1,5f17dcdca4b99e18ed83100e,4,5,5,4,5,2,3,3,2,1,3,3,4,3,3,5,3,3,4,4,5,1,3,5,2,,1,1,5,5,1,2,5,5,5,5,5,1,1,1,1,3,5,5,1,3,3,3,3,3,1,,4,5,1,2,5,5,2,1,1,1,5,5,5,5,5,5,5,1,5,5,5,3,3,5,1,,,"Jen is smart and only gives time in her day to truth, so she doesnt watch CNN or any mainstream media, she follows journalists and CAI/FBI whistleblowers on twitter and gets info straight from the source so she is not blinded by media lies and fake pandemic bullshit. ",1,1,,3,5,1,1,5,3,1,1,1,1,5,5,5,5,5,5,2,1,5,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,10,5,5,,,,,,,5,5,5,6,40,52,24,1,,3,22,7,,1,,1,,1,,45.51.24.82
578,2794,10/21/2020 18:01,37.75100708,-97.8219986,1,1,1,5a5479b4ac56240001537ffa,3,5,4,1,5,5,3,3,1,1,5,5,5,5,5,4,1,1,4,5,5,1,5,5,2,,3,5,5,1,5,5,2,2,1,1,5,5,5,5,5,4,2,1,5,5,5,3,3,3,2,1,1,1,1,3,1,3,5,5,4,5,1,1,1,1,1,5,5,5,1,3,5,3,1,1,2,,,"She wakes up, feeds her kids, has a conversation with her husband, walks the dog, has lunch with a friend, cooks dinner from an expensive meal kit, watches Fox news, goes to bed and then wakes up and does it all over again.",1,1,,1,1,3,4,1,4,4,4,4,4,3,1,3,1,1,2,3,5,2,2,3,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,9,5,5,2,2,2,2,44,53,31,2,,7,26,3,,1,,1,,1,,174.250.10.3
579,2652,10/21/2020 18:04,47.41619873,-120.2718964,1,1,1,5ed5d42e36b56a17327d4429,4,4,2,3,4,4,3,4,3,3,3,3,4,4,4,2,3,2,3,5,5,5,4,4,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen wakes up and takes a shower. She gets dressed and eats breakfast. She makes a coffee and is almost late hurrying out the door. She has a long day at work and comes home and cooks dinner. She relaxes in front of the tv, watching her favorite netflix series. ",2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,1,8,1,3,,,,,,,3,2,4,2,45,57,25,1,,4,22,6,,1,,1,,1,,75.139.162.253
580,2931,10/21/2020 18:05,32.24859619,-96.2161026,1,1,1,5d16cd09e1c05200018b4736,5,4,4,5,5,2,2,4,4,2,3,4,4,2,4,3,3,1,4,4,4,3,1,3,2,,4,4,4,4,3,4,4,3,5,2,5,4,4,3,4,3,4,3,1,5,5,4,2,2,1,,2,1,3,3,2,4,5,3,3,2,3,2,2,1,3,2,5,4,1,4,4,2,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen seems like someone who lives a typical life. She wakes up early, eats breakfast, takes a shower, and then eats breakfast. Works for a few hours, takes breaks, cleans the house on some days, and gets errands done.",2,,2,4,2,4,4,3,1,2,3,2,4,5,4,3,3,2,2,1,4,4,4,2,4,4,,,,,,,5,4,0,8,4,1,2,2,2,2,60,80,21,2,,4,24,2,,2,Philippines,1,,1,,76.6.66.49
