"","sub_id","BFI_target_group","group_cond","opin_pol_combined","identification","self","Targ","stereo","EDBFI_number","self_c","stereo_c","identification_c"
"1",1,"Trump","Out-group","2",2,3,4,4,1,-0.373291841428765,0.926106374340236,-1.39139274822094
"2",1,"Trump","Out-group","2",2,5,2,2,20,1.62670815857124,-1.07389362565976,-1.39139274822094
"3",1,"Trump","Out-group","2",2,3,4,4,1,-0.373291841428765,0.926106374340236,-1.39139274822094
"4",1,"Trump","Out-group","2",2,5,2,2,20,1.62670815857124,-1.07389362565976,-1.39139274822094
"5",1,"Trump","Out-group","2",2,5,3,4,21,1.62670815857124,0.926106374340236,-1.39139274822094
"6",1,"Trump","Out-group","2",2,5,3,4,21,1.62670815857124,0.926106374340236,-1.39139274822094
"7",1,"Trump","Out-group","2",2,4,1,2,22,0.626708158571235,-1.07389362565976,-1.39139274822094
"8",1,"Trump","Out-group","2",2,4,1,2,22,0.626708158571235,-1.07389362565976,-1.39139274822094
"9",1,"Trump","Out-group","2",2,1,5,5,23,-2.37329184142876,1.92610637434024,-1.39139274822094
"10",1,"Trump","Out-group","2",2,1,5,5,23,-2.37329184142876,1.92610637434024,-1.39139274822094
"11",1,"Trump","Out-group","2",2,4,2,3,24,0.626708158571235,-0.0738936256597644,-1.39139274822094
"12",1,"Trump","Out-group","2",2,4,2,3,24,0.626708158571235,-0.0738936256597644,-1.39139274822094
"13",1,"Trump","Out-group","2",2,4,3,3,2,0.626708158571235,-0.0738936256597644,-1.39139274822094
"14",1,"Trump","Out-group","2",2,4,3,3,2,0.626708158571235,-0.0738936256597644,-1.39139274822094
"15",1,"Trump","Out-group","2",2,3,4,4,3,-0.373291841428765,0.926106374340236,-1.39139274822094
"16",1,"Trump","Out-group","2",2,3,4,4,3,-0.373291841428765,0.926106374340236,-1.39139274822094
"17",1,"Trump","Out-group","2",2,3,2,2,4,-0.373291841428765,-1.07389362565976,-1.39139274822094
"18",1,"Trump","Out-group","2",2,3,2,2,4,-0.373291841428765,-1.07389362565976,-1.39139274822094
"19",1,"Trump","Out-group","2",2,2,2,2,5,-1.37329184142876,-1.07389362565976,-1.39139274822094
"20",1,"Trump","Out-group","2",2,2,2,2,5,-1.37329184142876,-1.07389362565976,-1.39139274822094
"21",1,"Trump","Out-group","2",2,4,2,3,6,0.626708158571235,-0.0738936256597644,-1.39139274822094
"22",1,"Trump","Out-group","2",2,4,2,3,6,0.626708158571235,-0.0738936256597644,-1.39139274822094
"23",1,"Trump","Out-group","2",2,3,1,2,7,-0.373291841428765,-1.07389362565976,-1.39139274822094
"24",1,"Trump","Out-group","2",2,3,1,2,7,-0.373291841428765,-1.07389362565976,-1.39139274822094
"25",1,"Trump","Out-group","2",2,1,2,1,8,-2.37329184142876,-2.07389362565976,-1.39139274822094
"26",1,"Trump","Out-group","2",2,1,2,1,8,-2.37329184142876,-2.07389362565976,-1.39139274822094
"27",1,"Trump","Out-group","2",2,3,3,2,9,-0.373291841428765,-1.07389362565976,-1.39139274822094
"28",1,"Trump","Out-group","2",2,3,3,2,9,-0.373291841428765,-1.07389362565976,-1.39139274822094
"29",1,"Trump","Out-group","2",2,4,2,3,10,0.626708158571235,-0.0738936256597644,-1.39139274822094
"30",1,"Trump","Out-group","2",2,4,2,3,10,0.626708158571235,-0.0738936256597644,-1.39139274822094
"31",1,"Trump","Out-group","2",2,3,3,5,11,-0.373291841428765,1.92610637434024,-1.39139274822094
"32",1,"Trump","Out-group","2",2,3,3,5,11,-0.373291841428765,1.92610637434024,-1.39139274822094
"33",1,"Trump","Out-group","2",2,2,2,3,12,-1.37329184142876,-0.0738936256597644,-1.39139274822094
"34",1,"Trump","Out-group","2",2,2,2,3,12,-1.37329184142876,-0.0738936256597644,-1.39139274822094
"35",1,"Trump","Out-group","2",2,4,3,3,13,0.626708158571235,-0.0738936256597644,-1.39139274822094
"36",1,"Trump","Out-group","2",2,4,3,3,13,0.626708158571235,-0.0738936256597644,-1.39139274822094
"37",1,"Trump","Out-group","2",2,2,3,2,14,-1.37329184142876,-1.07389362565976,-1.39139274822094
"38",1,"Trump","Out-group","2",2,2,3,2,14,-1.37329184142876,-1.07389362565976,-1.39139274822094
"39",1,"Trump","Out-group","2",2,4,2,3,15,0.626708158571235,-0.0738936256597644,-1.39139274822094
"40",1,"Trump","Out-group","2",2,4,2,3,15,0.626708158571235,-0.0738936256597644,-1.39139274822094
"41",1,"Trump","Out-group","2",2,2,3,4,16,-1.37329184142876,0.926106374340236,-1.39139274822094
"42",1,"Trump","Out-group","2",2,2,3,4,16,-1.37329184142876,0.926106374340236,-1.39139274822094
"43",1,"Trump","Out-group","2",2,2,4,3,17,-1.37329184142876,-0.0738936256597644,-1.39139274822094
"44",1,"Trump","Out-group","2",2,2,4,3,17,-1.37329184142876,-0.0738936256597644,-1.39139274822094
"45",1,"Trump","Out-group","2",2,4,2,2,18,0.626708158571235,-1.07389362565976,-1.39139274822094
"46",1,"Trump","Out-group","2",2,4,2,2,18,0.626708158571235,-1.07389362565976,-1.39139274822094
"47",1,"Trump","Out-group","2",2,2,4,2,19,-1.37329184142876,-1.07389362565976,-1.39139274822094
"48",1,"Trump","Out-group","2",2,2,4,2,19,-1.37329184142876,-1.07389362565976,-1.39139274822094
"49",2,"Trump","Out-group","2",5,2,4,5,1,-1.37329184142876,1.92610637434024,1.60860725177906
"50",2,"Trump","Out-group","2",5,4,4,2,20,0.626708158571235,-1.07389362565976,1.60860725177906
"51",2,"Trump","Out-group","2",5,2,4,5,1,-1.37329184142876,1.92610637434024,1.60860725177906
